p_id,m_id,won,captain,team_id
11,1,1,0,1
12,1,1,0,1
10,1,1,0,1
13,1,1,0,1
6,1,1,0,1
16,1,0,0,2
17,1,0,0,2
18,1,0,0,2
20,1,0,0,2
21,1,0,1,2
22,1,0,0,2
19,1,0,0,2
1,1,1,0,1
2,1,1,0,1
4,1,1,0,1
3,1,1,1,1
5,1,1,0,1
25,1,0,0,2
27,1,0,0,2
24,1,0,0,2
23,1,0,0,2
94,2,0,0,7
91,2,0,0,7
92,2,0,0,7
93,2,0,0,7
87,2,0,0,7
89,2,0,0,7
43,2,1,0,4
44,2,1,0,4
46,2,1,0,4
45,2,1,1,4
48,2,1,0,4
83,2,0,0,7
84,2,0,0,7
86,2,0,1,7
85,2,0,0,7
88,2,0,0,7
53,2,1,0,4
51,2,1,0,4
52,2,1,0,4
50,2,1,0,4
49,2,1,0,4
67,3,0,0,5
64,3,0,0,5
61,3,0,0,5
65,3,0,0,5
62,3,0,1,5
66,3,0,0,5
28,3,1,1,3
29,3,1,0,3
32,3,1,0,3
30,3,1,0,3
33,3,1,0,3
57,3,0,0,5
58,3,0,0,5
56,3,0,0,5
60,3,0,0,5
59,3,0,0,5
38,3,1,0,3
35,3,1,0,3
36,3,1,0,3
37,3,1,0,3
77,4,0,0,6
75,4,0,0,6
78,4,0,0,6
80,4,0,0,6
81,4,0,0,6
79,4,0,0,6
97,4,1,0,8
96,4,1,0,8
99,4,1,0,8
100,4,1,0,8
98,4,1,0,8
101,4,1,0,8
102,4,1,0,8
105,4,1,0,8
104,4,1,1,8
71,4,0,0,6
70,4,0,0,6
72,4,0,0,6
73,4,0,1,6
74,4,0,0,6
103,4,1,0,8
106,4,1,0,8
26,5,0,0,2
19,5,0,0,2
22,5,0,0,2
25,5,0,0,2
23,5,0,0,2
24,5,0,0,2
56,5,1,0,5
57,5,1,0,5
58,5,1,0,5
60,5,1,0,5
63,5,1,0,5
59,5,1,0,5
17,5,0,0,2
18,5,0,0,2
20,5,0,0,2
16,5,0,0,2
21,5,0,1,2
65,5,1,0,5
62,5,1,1,5
64,5,1,0,5
67,5,1,0,5
68,5,1,0,5
48,6,1,0,4
50,6,1,0,4
51,6,1,0,4
53,6,1,0,4
52,6,1,0,4
96,6,0,0,8
98,6,0,0,8
97,6,0,0,8
99,6,0,0,8
102,6,0,0,8
101,6,0,0,8
100,6,0,0,8
43,6,1,0,4
45,6,1,1,4
46,6,1,0,4
44,6,1,0,4
47,6,1,0,4
49,6,1,0,4
104,6,0,1,8
106,6,0,0,8
105,6,0,0,8
103,6,0,0,8
35,7,0,0,3
36,7,0,0,3
33,7,0,0,3
32,7,0,0,3
37,7,0,0,3
39,7,0,0,3
1,7,1,0,1
2,7,1,0,1
4,7,1,0,1
3,7,1,1,1
8,7,1,0,1
6,7,1,0,1
28,7,0,1,3
29,7,0,0,3
31,7,0,0,3
30,7,0,0,3
34,7,0,0,3
12,7,1,0,1
14,7,1,0,1
10,7,1,0,1
13,7,1,0,1
87,8,0,0,7
89,8,0,0,7
90,8,0,0,7
91,8,0,0,7
93,8,0,0,7
92,8,0,0,7
71,8,1,0,6
73,8,1,1,6
74,8,1,0,6
72,8,1,0,6
75,8,1,0,6
77,8,1,0,6
82,8,1,0,6
76,8,1,0,6
83,8,0,0,7
85,8,0,0,7
86,8,0,1,7
88,8,0,0,7
84,8,0,0,7
81,8,1,0,6
78,8,1,0,6
80,8,1,0,6
65,9,0,0,5
66,9,0,0,5
63,9,0,0,5
64,9,0,0,5
62,9,0,1,5
67,9,0,0,5
1,9,1,0,1
2,9,1,0,1
4,9,1,0,1
3,9,1,1,1
7,9,1,0,1
8,9,1,0,1
9,9,1,0,1
6,9,1,0,1
56,9,0,0,5
58,9,0,0,5
69,9,0,0,5
60,9,0,0,5
59,9,0,0,5
14,9,1,0,1
13,9,1,0,1
12,9,1,0,1
77,10,0,0,6
78,10,0,0,6
80,10,0,0,6
76,10,0,0,6
75,10,0,0,6
81,10,0,0,6
43,10,1,0,4
45,10,1,1,4
44,10,1,0,4
72,10,0,0,6
73,10,0,1,6
74,10,0,0,6
82,10,0,0,6
71,10,0,0,6
48,10,1,0,4
49,10,1,0,4
52,10,1,0,4
55,10,1,0,4
50,10,1,0,4
54,10,1,0,4
36,11,0,0,3
38,11,0,0,3
32,11,0,0,3
41,11,0,0,3
35,11,0,0,3
16,11,1,0,2
17,11,1,0,2
19,11,1,0,2
18,11,1,0,2
20,11,1,0,2
21,11,1,1,2
22,11,1,0,2
29,11,0,0,3
28,11,0,1,3
31,11,0,0,3
40,11,0,0,3
30,11,0,0,3
34,11,0,0,3
25,11,1,0,2
24,11,1,0,2
26,11,1,0,2
23,11,1,0,2
87,12,1,0,7
89,12,1,0,7
93,12,1,0,7
90,12,1,0,7
91,12,1,0,7
92,12,1,0,7
96,12,0,0,8
97,12,0,0,8
98,12,0,0,8
99,12,0,0,8
107,12,0,0,8
100,12,0,0,8
103,12,0,0,8
105,12,0,0,8
108,12,0,0,8
104,12,0,1,8
106,12,0,0,8
95,12,1,0,7
85,12,1,0,7
84,12,1,0,7
86,12,1,1,7
88,12,1,0,7
6,13,1,0,1
12,13,1,0,1
9,13,1,0,1
10,13,1,0,1
13,13,1,0,1
84,13,0,0,7
85,13,0,0,7
83,13,0,0,7
86,13,0,1,7
88,13,0,0,7
87,13,0,0,7
89,13,0,0,7
1,13,1,0,1
2,13,1,0,1
3,13,1,1,1
8,13,1,0,1
7,13,1,0,1
4,13,1,0,1
91,13,0,0,7
93,13,0,0,7
90,13,0,0,7
92,13,0,0,7
32,14,1,0,3
35,14,1,0,3
38,14,1,0,3
37,14,1,0,3
36,14,1,0,3
33,14,1,0,3
44,14,0,0,4
45,14,0,1,4
46,14,0,0,4
47,14,0,0,4
43,14,0,0,4
48,14,0,0,4
28,14,1,1,3
29,14,1,0,3
31,14,1,0,3
52,14,0,0,4
53,14,0,0,4
50,14,0,0,4
49,14,0,0,4
51,14,0,0,4
38,15,1,0,3
35,15,1,0,3
36,15,1,0,3
32,15,1,0,3
37,15,1,0,3
33,15,1,0,3
2,15,0,0,1
3,15,0,1,1
4,15,0,0,1
7,15,0,0,1
1,15,0,0,1
8,15,0,0,1
6,15,0,0,1
10,15,0,0,1
13,15,0,0,1
9,15,0,0,1
12,15,0,0,1
29,15,1,0,3
31,15,1,0,3
28,15,1,1,3
42,15,1,0,3
113,16,0,0,21
112,16,0,0,21
114,16,0,0,21
10,16,0,0,21
115,16,0,0,21
5,16,0,0,21
120,16,1,0,22
121,16,1,0,22
122,16,1,0,22
15,16,1,0,22
73,16,1,0,22
9,16,1,0,22
123,16,1,0,22
8,16,1,1,22
84,16,0,0,21
29,16,0,1,21
111,16,0,0,21
109,16,0,0,21
125,16,1,0,22
124,16,1,0,22
80,16,1,0,22
154,17,0,0,25
152,17,0,0,25
91,17,0,0,25
87,17,0,0,25
151,17,0,0,25
153,17,0,0,25
2,17,1,1,24
71,17,1,0,24
138,17,1,0,24
6,17,1,0,24
137,17,1,0,24
140,17,1,0,24
139,17,1,0,24
147,17,0,1,25
88,17,0,0,25
31,17,0,0,25
148,17,0,0,25
149,17,0,0,25
142,17,1,0,24
141,17,1,0,24
12,17,1,0,24
143,17,1,0,24
130,19,1,0,23
94,19,1,0,23
132,19,1,0,23
131,19,1,0,23
13,19,1,0,23
33,19,1,0,23
2,19,0,1,24
137,19,0,0,24
138,19,0,0,24
139,19,0,0,24
6,19,0,0,24
71,19,0,0,24
140,19,0,0,24
127,19,1,0,23
128,19,1,0,23
3,19,1,1,23
60,19,1,0,23
129,19,1,0,23
12,19,0,0,24
141,19,0,0,24
143,19,0,0,24
142,19,0,0,24
80,20,1,0,22
9,20,1,0,22
124,20,1,0,22
123,20,1,0,22
126,20,1,0,22
125,20,1,0,22
56,20,0,0,26
1,20,0,1,26
160,20,0,0,26
159,20,0,0,26
161,20,0,0,26
162,20,0,0,26
59,20,0,0,26
163,20,0,0,26
166,20,0,0,26
167,20,0,0,26
120,20,1,0,22
121,20,1,0,22
15,20,1,0,22
122,20,1,0,22
8,20,1,1,22
14,20,0,0,26
191,21,1,0,28
189,21,1,0,28
61,21,1,0,28
188,21,1,0,28
190,21,1,0,28
11,21,1,0,28
88,21,0,0,25
148,21,0,0,25
31,21,0,0,25
147,21,0,1,25
186,21,1,0,28
184,21,1,0,28
151,21,0,0,25
150,21,0,0,25
87,21,0,0,25
91,21,0,0,25
153,21,0,0,25
152,21,0,0,25
13,22,0,0,23
130,22,0,0,23
33,22,0,0,23
132,22,0,0,23
131,22,0,0,23
54,22,0,0,23
94,22,0,0,23
84,22,1,0,21
109,22,1,0,21
5,22,1,0,21
29,22,1,1,21
110,22,1,0,21
112,22,1,0,21
113,22,1,0,21
127,22,0,0,23
3,22,0,1,23
129,22,0,0,23
128,22,0,0,23
114,22,1,0,21
115,22,1,0,21
10,22,1,0,21
9,23,1,0,22
123,23,1,0,22
126,23,1,0,22
125,23,1,0,22
80,23,1,0,22
71,23,0,0,24
2,23,0,1,24
137,23,0,0,24
6,23,0,0,24
144,23,0,0,24
139,23,0,0,24
141,23,0,0,24
140,23,0,0,24
73,23,1,0,22
120,23,1,0,22
121,23,1,0,22
15,23,1,0,22
8,23,1,1,22
122,23,1,0,22
12,23,0,0,24
142,23,0,0,24
143,23,0,0,24
10,24,0,0,21
112,24,0,0,21
115,24,0,0,21
114,24,0,0,21
113,24,0,0,21
5,24,0,0,21
172,24,1,0,27
4,24,1,0,27
171,24,1,0,27
173,24,1,1,27
84,24,0,0,21
29,24,0,1,21
110,24,0,0,21
109,24,0,0,21
116,24,0,0,21
179,24,1,0,27
177,24,1,0,27
81,24,1,0,27
178,24,1,0,27
78,24,1,0,27
14,25,0,0,26
162,25,0,0,26
163,25,0,1,26
164,25,0,0,26
165,25,0,0,26
88,25,1,0,25
147,25,1,1,25
87,25,1,0,25
148,25,1,0,25
31,25,1,0,25
56,25,0,0,26
159,25,0,0,26
160,25,0,0,26
1,25,0,0,26
59,25,0,0,26
161,25,0,0,26
156,25,1,0,25
153,25,1,0,25
152,25,1,0,25
91,25,1,0,25
151,25,1,0,25
130,26,0,0,23
94,26,0,0,23
131,26,0,0,23
133,26,0,0,23
54,26,0,0,23
33,26,0,0,23
13,26,0,0,23
188,26,1,0,28
184,26,1,0,28
61,26,1,0,28
186,26,1,0,28
7,26,1,1,28
3,26,0,1,23
127,26,0,0,23
128,26,0,0,23
190,26,1,0,28
53,26,1,0,28
189,26,1,0,28
11,26,1,0,28
179,27,1,0,27
78,27,1,0,27
81,27,1,0,27
177,27,1,0,27
180,27,1,0,27
178,27,1,0,27
56,27,0,0,26
159,27,0,0,26
59,27,0,0,26
1,27,0,0,26
82,27,0,0,26
161,27,0,0,26
163,27,0,1,26
172,27,1,0,27
171,27,1,0,27
173,27,1,1,27
174,27,1,0,27
4,27,1,0,27
168,27,0,0,26
166,27,0,0,26
165,27,0,0,26
14,27,0,0,26
123,28,1,0,22
9,28,1,0,22
80,28,1,0,22
126,28,1,0,22
125,28,1,0,22
127,28,0,0,23
3,28,0,1,23
128,28,0,0,23
94,28,0,0,23
33,28,0,0,23
133,28,0,0,23
129,28,0,0,23
73,28,1,0,22
121,28,1,0,22
120,28,1,0,22
122,28,1,0,22
13,28,0,0,23
134,28,0,0,23
131,28,0,0,23
130,28,0,0,23
12,29,0,0,24
140,29,0,0,24
145,29,0,0,24
141,29,0,0,24
6,29,0,0,24
143,29,0,0,24
1,29,1,0,26
159,29,1,0,26
56,29,1,0,26
82,29,1,0,26
161,29,1,0,26
162,29,1,0,26
71,29,0,0,24
57,29,0,0,24
137,29,0,0,24
144,29,0,0,24
2,29,0,1,24
169,29,1,0,26
14,29,1,0,26
167,29,1,0,26
163,29,1,1,26
166,29,1,0,26
81,30,1,0,27
177,30,1,0,27
179,30,1,0,27
181,30,1,0,27
178,30,1,0,27
78,30,1,0,27
184,30,0,0,28
186,30,0,0,28
185,30,0,0,28
187,30,0,0,28
61,30,0,0,28
7,30,0,1,28
171,30,1,0,27
172,30,1,0,27
180,30,1,0,27
4,30,1,0,27
173,30,1,1,27
11,30,0,0,28
190,30,0,0,28
189,30,0,0,28
53,30,0,0,28
188,30,0,0,28
91,31,1,0,25
67,31,1,0,25
152,31,1,0,25
151,31,1,0,25
156,31,1,0,25
29,31,0,1,21
45,31,0,0,21
109,31,0,0,21
84,31,0,0,21
149,31,1,0,25
148,31,1,0,25
31,31,1,1,25
147,31,1,0,25
150,31,1,0,25
87,31,1,0,25
112,31,0,0,21
114,31,0,0,21
118,31,0,0,21
10,31,0,0,21
117,31,0,0,21
12,32,1,0,24
142,32,1,0,24
6,32,1,0,24
37,32,1,0,24
141,32,1,0,24
140,32,1,0,24
171,32,0,0,27
173,32,0,1,27
172,32,0,0,27
174,32,0,0,27
177,32,0,0,27
81,32,0,0,27
78,32,0,0,27
4,32,0,0,27
2,32,1,1,24
137,32,1,0,24
71,32,1,0,24
139,32,1,0,24
138,32,1,0,24
179,32,0,0,27
181,32,0,0,27
178,32,0,0,27
124,33,0,0,22
80,33,0,0,22
9,33,0,0,22
50,33,0,0,22
126,33,0,0,22
125,33,0,0,22
147,33,1,0,25
157,33,1,0,25
148,33,1,0,25
87,33,1,0,25
31,33,1,1,25
150,33,1,0,25
120,33,0,0,22
121,33,0,0,22
73,33,0,0,22
122,33,0,0,22
8,33,0,1,22
152,33,1,0,25
156,33,1,0,25
153,33,1,0,25
91,33,1,0,25
151,33,1,0,25
61,34,0,0,28
189,34,0,0,28
190,34,0,0,28
188,34,0,0,28
191,34,0,0,28
192,34,0,0,28
84,34,1,0,21
29,34,1,1,21
109,34,1,0,21
45,34,1,0,21
185,34,0,0,28
184,34,0,0,28
187,34,0,0,28
186,34,0,0,28
7,34,0,1,28
5,34,1,0,21
118,34,1,0,21
10,34,1,0,21
112,34,1,0,21
114,34,1,0,21
117,34,1,0,21
133,35,1,0,23
130,35,1,0,23
13,35,1,0,23
131,35,1,0,23
33,35,1,0,23
134,35,1,0,23
56,35,0,0,26
1,35,0,0,26
82,35,0,0,26
159,35,0,0,26
162,35,0,0,26
161,35,0,0,26
163,35,0,1,26
127,35,1,0,23
3,35,1,1,23
128,35,1,0,23
49,35,1,0,23
129,35,1,0,23
169,35,0,0,26
14,35,0,0,26
166,35,0,0,26
167,35,0,0,26
152,36,1,0,25
156,36,1,0,25
153,36,1,0,25
67,36,1,0,25
151,36,1,0,25
119,36,0,0,21
29,36,0,1,21
45,36,0,0,21
109,36,0,0,21
98,36,0,0,21
5,36,0,0,21
157,36,1,0,25
147,36,1,0,25
148,36,1,0,25
150,36,1,0,25
155,36,1,0,25
31,36,1,1,25
112,36,0,0,21
114,36,0,0,21
10,36,0,0,21
117,36,0,0,21
191,37,1,0,28
192,37,1,0,28
188,37,1,0,28
189,37,1,0,28
11,37,1,0,28
61,37,1,0,28
73,37,0,0,22
120,37,0,0,22
122,37,0,0,22
8,37,0,1,22
9,37,0,0,22
123,37,0,0,22
126,37,0,0,22
121,37,0,0,22
124,37,0,0,22
125,37,0,0,22
184,37,1,0,28
185,37,1,0,28
187,37,1,0,28
80,37,0,0,22
37,38,1,0,24
141,38,1,0,24
142,38,1,0,24
12,38,1,0,24
6,38,1,0,24
140,38,1,0,24
1,38,0,0,26
56,38,0,0,26
170,38,0,0,26
59,38,0,0,26
159,38,0,0,26
162,38,0,0,26
71,38,1,0,24
137,38,1,0,24
138,38,1,0,24
2,38,1,1,24
139,38,1,0,24
14,38,0,0,26
168,38,0,0,26
163,38,0,1,26
165,38,0,0,26
135,39,1,0,23
130,39,1,0,23
13,39,1,0,23
54,39,1,0,23
131,39,1,0,23
172,39,0,0,27
173,39,0,1,27
174,39,0,0,27
171,39,0,0,27
81,39,0,0,27
4,39,0,0,27
177,39,0,0,27
78,39,0,0,27
127,39,1,0,23
128,39,1,0,23
60,39,1,0,23
3,39,1,1,23
181,39,0,0,27
178,39,0,0,27
179,39,0,0,27
192,40,0,0,28
189,40,0,0,28
188,40,0,0,28
191,40,0,0,28
61,40,0,0,28
11,40,0,0,28
71,40,1,0,24
2,40,1,1,24
6,40,1,0,24
184,40,0,0,28
185,40,0,0,28
7,40,0,1,28
187,40,0,0,28
193,40,0,0,28
141,40,1,0,24
140,40,1,0,24
143,40,1,0,24
12,40,1,0,24
142,40,1,0,24
152,41,1,0,25
151,41,1,0,25
156,41,1,0,25
67,41,1,0,25
91,41,1,0,25
3,41,0,1,23
128,41,0,0,23
60,41,0,0,23
127,41,0,0,23
94,41,0,0,23
157,41,1,0,25
148,41,1,0,25
147,41,1,0,25
150,41,1,0,25
31,41,1,1,25
54,41,0,0,23
131,41,0,0,23
130,41,0,0,23
13,41,0,0,23
133,41,0,0,23
50,42,1,0,22
124,42,1,0,22
126,42,1,0,22
125,42,1,0,22
9,42,1,0,22
80,42,1,0,22
171,42,0,0,27
173,42,0,1,27
174,42,0,0,27
4,42,0,0,27
172,42,0,0,27
81,42,0,0,27
183,42,0,0,27
78,42,0,0,27
181,42,0,0,27
179,42,0,0,27
177,42,0,0,27
73,42,1,0,22
120,42,1,0,22
121,42,1,0,22
122,42,1,0,22
8,42,1,1,22
12,43,0,0,24
146,43,0,0,24
141,43,0,0,24
142,43,0,0,24
6,43,0,0,24
140,43,0,0,24
29,43,1,1,21
45,43,1,0,21
109,43,1,0,21
5,43,1,0,21
110,43,1,0,21
84,43,1,0,21
112,43,1,0,21
2,43,0,1,24
71,43,0,0,24
137,43,0,0,24
138,43,0,0,24
139,43,0,0,24
10,43,1,0,21
117,43,1,0,21
114,43,1,0,21
118,43,1,0,21
52,44,0,0,27
178,44,0,0,27
177,44,0,0,27
179,44,0,0,27
181,44,0,0,27
157,44,1,0,25
147,44,1,0,25
148,44,1,0,25
150,44,1,0,25
155,44,1,0,25
151,44,1,0,25
158,44,1,0,25
171,44,0,0,27
172,44,0,0,27
174,44,0,0,27
173,44,0,1,27
175,44,0,0,27
4,44,0,0,27
156,44,1,0,25
152,44,1,0,25
67,44,1,0,25
55,44,1,0,25
14,45,0,0,26
167,45,0,0,26
163,45,0,1,26
165,45,0,0,26
162,45,0,0,26
43,45,1,0,21
45,45,1,1,21
109,45,1,0,21
119,45,1,0,21
1,45,0,0,26
56,45,0,0,26
159,45,0,0,26
59,45,0,0,26
170,45,0,0,26
161,45,0,0,26
113,45,1,0,21
118,45,1,0,21
114,45,1,0,21
10,45,1,0,21
112,45,1,0,21
153,46,1,0,25
91,46,1,0,25
87,46,1,0,25
152,46,1,0,25
151,46,1,0,25
156,46,1,0,25
73,46,0,0,22
121,46,0,0,22
120,46,0,0,22
122,46,0,0,22
9,46,0,0,22
8,46,0,1,22
126,46,0,0,22
124,46,0,0,22
123,46,0,0,22
88,46,1,0,25
148,46,1,0,25
31,46,1,1,25
147,46,1,0,25
80,46,0,0,22
125,46,0,0,22
142,47,0,0,24
141,47,0,0,24
37,47,0,0,24
12,47,0,0,24
6,47,0,0,24
84,47,1,0,21
45,47,1,0,21
29,47,1,1,21
5,47,1,0,21
109,47,1,0,21
112,47,1,0,21
2,47,0,1,24
137,47,0,0,24
138,47,0,0,24
71,47,0,0,24
140,47,0,0,24
139,47,0,0,24
10,47,1,0,21
114,47,1,0,21
118,47,1,0,21
117,47,1,0,21
126,48,0,0,22
124,48,0,0,22
80,48,0,0,22
123,48,0,0,22
125,48,0,0,22
9,48,0,0,22
29,48,1,1,21
45,48,1,0,21
119,48,1,0,21
5,48,1,0,21
109,48,1,0,21
120,48,0,0,22
73,48,0,0,22
121,48,0,0,22
122,48,0,0,22
8,48,0,1,22
114,48,1,0,21
117,48,1,0,21
112,48,1,0,21
113,48,1,0,21
10,48,1,0,21
91,49,1,0,25
153,49,1,0,25
87,49,1,0,25
152,49,1,0,25
156,49,1,0,25
151,49,1,0,25
29,49,0,1,21
45,49,0,0,21
84,49,0,0,21
5,49,0,0,21
112,49,0,0,21
119,49,0,0,21
109,49,0,0,21
88,49,1,0,25
148,49,1,0,25
147,49,1,0,25
114,49,0,0,21
117,49,0,0,21
10,49,0,0,21
118,49,0,0,21
28,50,1,0,41
227,50,1,0,41
3,50,1,1,41
121,50,1,0,41
148,50,1,0,41
62,50,1,0,41
228,50,1,0,41
130,50,1,0,41
229,50,1,0,41
38,50,1,0,41
230,50,1,0,41
29,50,0,1,40
18,50,0,0,40
19,50,0,0,40
59,50,0,0,40
32,50,0,0,40
6,50,0,0,40
23,50,0,0,40
224,50,0,0,40
135,50,0,0,40
41,50,0,0,40
225,50,0,0,40
84,51,0,0,39
56,51,0,0,39
222,51,0,0,39
109,51,0,0,39
88,51,0,0,39
86,51,0,1,39
48,51,0,0,39
112,51,0,0,39
163,51,0,0,39
14,51,0,0,39
106,51,0,0,39
71,51,1,0,42
231,51,1,0,42
85,51,1,0,42
173,51,1,1,42
60,51,1,0,42
9,51,1,0,42
22,51,1,0,42
54,51,1,0,42
232,51,1,0,42
11,51,1,0,42
12,51,1,0,42
188,52,1,0,35
210,52,1,0,35
30,52,1,0,35
211,52,1,0,35
212,52,1,0,35
139,52,1,1,35
183,52,1,0,35
35,52,1,0,35
213,52,1,0,35
78,52,1,0,35
214,52,1,0,35
2,52,0,1,34
1,52,0,0,34
184,52,0,0,34
207,52,0,0,34
208,52,0,0,34
61,52,0,0,34
81,52,0,0,34
91,52,0,0,34
25,52,0,0,34
26,52,0,0,34
209,52,0,0,34
159,53,1,0,32
199,53,1,0,32
74,53,1,0,32
200,53,1,0,32
128,53,1,1,32
201,53,1,0,32
50,53,1,0,32
202,53,1,0,32
10,53,1,0,32
92,53,1,0,32
203,53,1,0,32
195,53,0,0,31
194,53,0,0,31
197,53,0,0,31
196,53,0,0,31
5,53,0,0,31
113,53,0,1,31
145,53,0,0,31
177,53,0,0,31
36,53,0,0,31
198,53,0,0,31
93,53,0,0,31
83,54,1,0,37
73,54,1,0,37
40,54,1,0,37
138,54,1,0,37
8,54,1,1,37
49,54,1,0,37
63,54,1,0,37
27,54,1,0,37
217,54,1,0,37
52,54,1,0,37
13,54,1,0,37
157,54,0,0,38
218,54,0,0,38
45,54,0,1,38
33,54,0,0,38
219,54,0,0,38
34,54,0,0,38
